manual_component,category,source_path,source_commit,source_status,synthesis_id,inherited_wording,revised_wording,revision_reason,unresolved_conflict,authority_decision
category name,cue_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,cue_function,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CUE_POSITIVE_CRITERION,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,cue_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,cue_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,cue_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,cue_function,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,cue_function,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_WORKED_EXAMPLES,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,warrant_attribution,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,warrant_attribution,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,warrant_attribution,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,warrant_attribution,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,warrant_attribution,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,warrant_attribution,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,warrant_attribution,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_OPERATION_ATTRIBUTION_EXAMPLE,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,warrant_relation,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,warrant_relation,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
candidate_loci schema,warrant_relation,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_CANDIDATE_SCHEMA,no,yes,Stage A candidate state must be structurally stored for every category.,none,adopted_for_protocol_review_v0_1
review policy schema,warrant_relation,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_POLICY_SCHEMA,no,yes,Category policy application must be structured.,none,adopted_for_protocol_review_v0_1
review linkage,warrant_relation,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,study schema,SYN_V0_1_REVIEW_LINKAGE,no,yes,Separate review records must link to original proposal ID and hash.,none,adopted_for_protocol_review_v0_1
counterfactual test,warrant_relation,docs/studies/predicted_confusions.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,SYN_V0_1_CROSS_FIELD_VALIDATION,partial,yes,Tests inherited and strengthened for validator-enforced cross-field constraints.,none,adopted_for_protocol_review_v0_1
example provenance,warrant_relation,docs/manuals/friction_locus_manual_v0_1.json,6998175eeca5d349072bf31012c69f2d568f28ec,manual synthesis,SYN_V0_1_WORKED_EXAMPLES,no,yes,Artificial worked records avoid PR #18 sample contamination.,none,adopted_for_protocol_review_v0_1
category name,operation_function,schemas/human_llm_coder_output.schema.json,6998175eeca5d349072bf31012c69f2d568f28ec,schema-only source,,yes,no,Exact schema enum value retained.,none,retained
short definition,operation_function,docs/studies/friction_locus_lineage_table.csv,6998175eeca5d349072bf31012c69f2d568f28ec,current supporting source,,partial,yes,Lineage wording formalized for manual use; cue_function revised to positive criterion where applicable.,none,adopted_for_protocol_review_v0_1
