participant_id,case_id,condition,scenario_id,self_reported_revision_reason,self_reported_revision_note
P01,C01,ai_exposure,S01,ai_confirmed_original_judgment,
P01,C02,ai_exposure,S02,rejected_ai_output,
P01,C03,ai_exposure,S03,ai_persuaded_interpretive_change,
P01,C04,ai_exposure,S04,ai_identified_missed_evidence,
P01,C05,control,S16,changed_after_rereading_not_ai,
P01,C06,control,S20,not_applicable,
P02,C01,control,S20,not_applicable,
P02,C02,ai_exposure,S05,ai_identified_missed_evidence,
P02,C03,ai_exposure,S06,ai_identified_missed_evidence,
P02,C04,ai_exposure,S07,ai_clarified_category_boundary,
P02,C05,ai_exposure,S08,ai_confirmed_original_judgment,
P02,C06,control,S16,changed_after_rereading_not_ai,
P03,C01,control,S16,changed_after_rereading_not_ai,
P03,C02,control,S20,not_applicable,
P03,C03,ai_exposure,S09,mixed_or_unclear,
P03,C04,ai_exposure,S10,ai_clarified_category_boundary,
P03,C05,ai_exposure,S11,ai_persuaded_interpretive_change,
P03,C06,ai_exposure,S12,ai_clarified_category_boundary,
P04,C01,ai_exposure,S14,rejected_ai_output,
P04,C02,ai_exposure,S15,changed_after_rereading_not_ai,
P04,C03,control,S16,changed_after_rereading_not_ai,
P04,C04,control,S20,not_applicable,
P04,C05,ai_exposure,S17,mixed_or_unclear,
P04,C06,ai_exposure,S19,ai_persuaded_interpretive_change,
