case_id,pre_redaction_focal_passage_present,pre_redaction_context_rule_recorded,pre_redaction_packet_length_chars,source_and_gloss_distinguishable,canonical_status_recorded,secondary_interpretation_embedded,labels_or_friction_locus_hints_present,evidence_ids_stable_unique,human_model_visible_layers_identical,sufficiency_without_hidden_context,editorial_steering_summary_present,public_packet_status,failure
L1_AUSTEN_PNP_001,yes,yes,1099,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_BRONTE_JE_001,yes,yes,1254,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_CHOPIN_AWAKENING_001,yes,yes,609,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_COLLINS_MOONSTONE_001,yes,yes,1116,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_CONRAD_SECRET_001,yes,yes,2388,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_DICKENS_GE_001,yes,yes,2048,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_HARDY_TESS_001,yes,yes,861,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_HAWTHORNE_SL_001,yes,yes,1186,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_JAMES_TS_001,yes,yes,1181,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_MELVILLE_BARTLEBY_001,yes,yes,1292,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_POE_TELLTALE_001,yes,yes,921,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_SHELLEY_FRANK_001,yes,yes,996,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_STEVENSON_JH_001,yes,yes,941,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_WHARTON_MIRTH_001,yes,yes,1599,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L1_WILDE_DG_001,yes,yes,516,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_AESOP_001,yes,yes,362,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_ARABIAN_NIGHTS_001,yes,yes,1069,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_BEOWULF_DRAGON_001,yes,yes,448,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_BIBLE_GENESIS_001,yes,yes,624,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_BIBLE_SAMUEL_001,yes,yes,622,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_HERODOTUS_SCYTHIAN_001,yes,yes,1481,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_HOMER_ODYSSEY_001,yes,yes,625,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_MALORY_MORTE_001,yes,yes,1194,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_OVID_DAPHNE_001,yes,yes,1377,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
L2_SOPHOCLES_ANTIGONE_001,yes,yes,557,yes,yes,no,no,yes,yes,requires_private_audit_before_execution,requires_author_review; public packet metadata has been neutralized,text_redacted_pending_rights_review,none_public_execution_blocked_by_rights_redaction
