participant_id,case_id,condition,ai_evidence_incorporated,evidence_convergence_increased,evidential_displacement
P01,C01,ai_exposure,False,False,False
P01,C02,ai_exposure,False,False,False
P01,C03,ai_exposure,False,False,False
P01,C04,ai_exposure,True,False,False
P01,C05,control,,,
P01,C06,control,,,
P02,C01,control,,,
P02,C02,ai_exposure,True,True,False
P02,C03,ai_exposure,True,True,True
P02,C04,ai_exposure,False,False,False
P02,C05,ai_exposure,False,False,False
P02,C06,control,,,
P03,C01,control,,,
P03,C02,control,,,
P03,C03,ai_exposure,False,False,False
P03,C04,ai_exposure,False,False,False
P03,C05,ai_exposure,False,False,False
P03,C06,ai_exposure,False,False,False
P04,C01,ai_exposure,False,False,False
P04,C02,ai_exposure,False,False,False
P04,C03,control,,,
P04,C04,control,,,
P04,C05,ai_exposure,True,True,False
P04,C06,ai_exposure,True,True,True
