candidate_id,source_universe_id,source_tradition,source_work,edition_or_version,source_language,canonical_text_status,translation_or_gloss_status,translation_or_gloss_provenance,candidate_span,approximate_case_length,context_window_rule,prior_demo_use,prior_manual_use,manual_development_influence,researcher_prior_analysis,researcher_familiarity_level,eligible,inclusion_status,exclusion_reason_code,selection_rationale,selector,selection_timestamp,label_information_visible_at_selection,rights_status,rights_basis,source_retrieval_date,source_text_hash,provenance_manifest_reference,notes,terminal_category,eligibility_exclusion_reason_code,non_selection_reason_code,familiarity_audit_status
L1_AUSTEN_PNP_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,English nineteenth-century fiction,"Jane Austen, Pride and Prejudice","Project Gutenberg eBook #1342, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,"Chapter 6, Darcy’s changing attention to Elizabeth Bennet",194 words,focal paragraph plus adjacent transition,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,71502942b371370c9537d9c820fce7423cb3e794df2154e7338d282e5d808757,data/studies/human_llm_pilot/source_packets/L1_AUSTEN_PNP_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_SHELLEY_FRANK_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,English Gothic fiction,"Mary Wollstonecraft Shelley, Frankenstein; or, The Modern Prometheus","Project Gutenberg eBook #84, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Creature confronts Victor and demands to be heard,175 words,focal confrontation speech plus Victor’s immediate address,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,6d6e6a5fb74189673b173b98cc6714835f087776cbd7768ab65de9e038c27036,data/studies/human_llm_pilot/source_packets/L1_SHELLEY_FRANK_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_DICKENS_GE_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Victorian fiction,"Charles Dickens, Great Expectations","Project Gutenberg eBook #1400, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Magwitch reveals his relation to Pip,397 words,focal revelation plus immediate reaction and kinship claim,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,2d29b52e6e37a15ec602bc9493f1aa5f2888a05ea9be0c9a07aeb9c1561f092f,data/studies/human_llm_pilot/source_packets/L1_DICKENS_GE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_BRONTE_JE_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Victorian fiction,"Charlotte Bronte, Jane Eyre","Project Gutenberg eBook #1260, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Jane refuses to abandon principle under temptation,220 words,focal moral decision plus inner appeal,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,8d7b71caead92b9304a02452eb9b87e2ff8eebd22541b053ec2c411c870a0438,data/studies/human_llm_pilot/source_packets/L1_BRONTE_JE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_WILDE_DG_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Late Victorian fiction,"Oscar Wilde, The Picture of Dorian Gray","Project Gutenberg eBook #174, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Dorian wishes the portrait would age instead of him,96 words,focal wish and immediate utterance,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,3d519db6ae0da4fc49c71ccb8ca696dc75cd0709f9bf9ad910181d8dc60cb1bd,data/studies/human_llm_pilot/source_packets/L1_WILDE_DG_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_JAMES_TS_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Late nineteenth-century psychological fiction,"Henry James, The Turn of the Screw","Project Gutenberg eBook #209, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,The governess reports a figure at the tower,203 words,focal sighting plus immediate perception report,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,3146717475ee33bc35ff84d1318e0612b03379251e44e3c9e335fdc49c9cd230,data/studies/human_llm_pilot/source_packets/L1_JAMES_TS_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_STEVENSON_JH_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,Late Victorian Gothic fiction,"Robert Louis Stevenson, Strange Case of Dr Jekyll and Mr Hyde","Project Gutenberg eBook #43, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Utterson watches for Hyde,164 words,focal inference line plus adjacent surveillance context,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,f1667a3dd1174124e93b83c27f4255f68cd0dcfb49bcecc3a70fdf25cf10baea,data/studies/human_llm_pilot/source_packets/L1_STEVENSON_JH_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_POE_TELLTALE_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,American Gothic fiction,"Edgar Allan Poe, The Tell-Tale Heart","Project Gutenberg eBook #2148, English public-domain Poe edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Narrator insists on sanity while beginning confession,163 words,opening self-justification and stated motive,no,no,none_known,no_known_prior_analysis,prior_casual_reading,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,6ce8960fe2e1ccae41942792420e76a7f072478b28d856fb41ae8fd5a6b89c8a,data/studies/human_llm_pilot/source_packets/L1_POE_TELLTALE_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_HAWTHORNE_SL_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,American romance fiction,"Nathaniel Hawthorne, The Scarlet Letter","Project Gutenberg eBook #25344, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,Hester’s public scaffold appearance,203 words,focal scaffold description plus immediate physical/narrative framing,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,ea4a11048e85022263c79853aa85e428eb04e188d62436636dc5e56a1f86487f,data/studies/human_llm_pilot/source_packets/L1_HAWTHORNE_SL_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
L1_CHOPIN_AWAKENING_001,L1_PG_HELD_OUT_NARRATIVE_2026_07_02,American realist fiction,"Kate Chopin, The Awakening","Project Gutenberg eBook #160, English public-domain edition",English,frozen_packet_text_layer_normalized_from_retrieved_project_gutenberg_lines,not_applicable,Original English text from Project Gutenberg public-domain edition,The sea voice and inward awakening motif,89 words,focal thematic passage plus immediate transition,no,no,none_known,no_known_prior_analysis,title_general_cultural_familiarity_only,yes,selected,,"Eligible under frozen packet, rights, and identical text-layer rules; retained because eligible count matched target layer size after exclusions, without anticipated labels.",author-assisted internal selection,2026-07-02T12:00:00+10:00,no friction_locus labels inferred or used,public_domain_us_project_gutenberg_or_public_domain_translation,Project Gutenberg public-domain source text or public-domain translation cited; source-specific rights review still required before public redistribution outside study review.,2026-07-02,8211ffd9ca3d2db82ae5c6d5c2bdf3f4dc1fae4fbe554e6fe197a551ac939642,data/studies/human_llm_pilot/source_packets/L1_CHOPIN_AWAKENING_001.json,Selected before human coding and before model execution; model familiarity is not knowable and is not claimed absent.,selected,,,author_confirmation_required_before_execution
