case_id,segment_id,speaker,segment_order,segment_text,context_note,included_in_packet,copyright_note
IAG_MEDIUM_001,IAG-MED-001,medium/framing,1,Statement attributed to the dead man as conveyed through a medium.,Framing segment records mediation; it is not a direct claim by the samurai.,yes,Paraphrased framing created for packet metadata.
IAG_MEDIUM_001,IAG-SAM-001,dead_samurai_via_medium,2,"While I was sitting bound there, my wife was with the robber in the grove.",Compressed from the samurai testimony; establishes bound vantage point and mediation.,yes,Short adapted excerpt for review; verify translation status before publication.
IAG_MEDIUM_001,IAG-SAM-002,dead_samurai_via_medium,3,"She said, ""Then take me away with you wherever you go.""",Direct quoted statement attributed by the samurai to his wife.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-003,dead_samurai_via_medium,4,"She pointed at me tied to the cedar and cried, ""Kill him! I cannot marry you as long as he lives.""",Samurai reports the wife's demand.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-004,dead_samurai_via_medium,5,"The robber looked at me and asked whether she should be killed or saved.",Samurai reports the robber asking him what to do with the wife.,yes,Short adapted excerpt for review; verify translation status before publication.
IAG_MEDIUM_001,IAG-SAM-005,dead_samurai_via_medium,6,"While I hesitated, she shrieked and ran into the depths of the grove.",Samurai reports wife fleeing.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-006,dead_samurai_via_medium,7,"After she ran away, he took up my sword, and my bow and arrows.",Samurai reports robber taking weapons.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-007,dead_samurai_via_medium,8,"With a single stroke he cut one of my bonds.",Samurai reports partial release by robber.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-008,dead_samurai_via_medium,9,"Then he disappeared from the grove.",Samurai reports robber leaving.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-009,dead_samurai_via_medium,10,"Untying the rest of my bonds, I listened carefully, and noticed that it was my own crying.",Samurai reports crying after robber leaves.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-010,dead_samurai_via_medium,11,"I took up the small sword which my wife had dropped and stabbed it into my breast.",Samurai reports self-stabbing.,yes,Short adapted excerpt for review; verify translation status before publication.
IAG_MEDIUM_001,IAG-SAM-011,dead_samurai_via_medium,12,"When my breast grew cold, everything was as silent as the dead in their graves.",Samurai reports bodily coldness and silence after stabbing.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
IAG_MEDIUM_001,IAG-SAM-012,dead_samurai_via_medium,13,"Someone crept up to me and drew the small sword softly out of my breast.",Samurai reports an unidentified later action after the self-stabbing account.,yes,Short adapted excerpt for review; verify translation status before publication.
IAG_MEDIUM_001,IAG-SAM-013,dead_samurai_via_medium,14,"At the same time once more blood flowed into my mouth, and I sank down into the darkness of space.",Samurai reports final sinking into darkness after the unidentified action.,yes,From 1952 Kojima translation as hosted by Wikisource; review required.
