intended_defect,expected_field,detected
tampered_locked_pre_record,canonical_record_sha256,True
missing_exposed_ai_annotation,exposed_ai_annotation_id,True
wrong_case_ai_exposure,exposed_ai_annotation_id,True
model_run_mismatch,exposed_model_run_id,True
human_post_no_ai_exposure,ai_output_exposed,True
control_with_ai_exposure,ai_output_exposed,True
core_provenance_lock_mismatch,lock_status,True
duplicate_exposure_event_id,exposure_event_id,True
invalid_stage_condition,interface_condition,True
missing_alternative_note,alternative_note,True
