annotation_id,parent_annotation_id,case_id,actor_id,actor_type,annotation_stage,pre_ai_annotation_locked,ai_output_exposed,exposure_order,interface_condition,model_provider,model_name,model_version_or_date,prompt_template_id,prompt_hash,system_prompt_hash,model_run_id,retry_count,regenerated_output,temperature_or_sampling,output_components_shown,exposure_timestamp,post_edit_timestamp,changed_label,changed_primary_evidence,changed_rationale_mechanism,changed_uncertainty,changed_alternative,exposed_ai_annotation_id,exposed_model_run_id,self_reported_revision_reason,self_reported_revision_note,prior_access_to_other_annotations,lock_status
AI_C01,,C01,AI_SYNTH,model,ai_independent,not_applicable,none,none,independent,synthetic_provider,synthetic_trim_haa_model,synthetic-v1,PROMPT_SYNTH_V1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,RUN_C01,0,no,temperature=0,full_core_record,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
AI_C02,,C02,AI_SYNTH,model,ai_independent,not_applicable,none,none,independent,synthetic_provider,synthetic_trim_haa_model,synthetic-v1,PROMPT_SYNTH_V1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,RUN_C02,0,no,temperature=0,full_core_record,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
AI_C03,,C03,AI_SYNTH,model,ai_independent,not_applicable,none,none,independent,synthetic_provider,synthetic_trim_haa_model,synthetic-v1,PROMPT_SYNTH_V1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,RUN_C03,0,no,temperature=0,full_core_record,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
AI_C04,,C04,AI_SYNTH,model,ai_independent,not_applicable,none,none,independent,synthetic_provider,synthetic_trim_haa_model,synthetic-v1,PROMPT_SYNTH_V1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,RUN_C04,0,no,temperature=0,full_core_record,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
AI_C05,,C05,AI_SYNTH,model,ai_independent,not_applicable,none,none,independent,synthetic_provider,synthetic_trim_haa_model,synthetic-v1,PROMPT_SYNTH_V1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,RUN_C05,0,no,temperature=0,full_core_record,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
AI_C06,,C06,AI_SYNTH,model,ai_independent,not_applicable,none,none,ai_review,synthetic_provider,synthetic_trim_haa_model,synthetic-v1,PROMPT_SYNTH_V1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,,RUN_C06,0,no,temperature=0,full_core_record,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P01_C01_PRE,,C01,P01,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P01_C01_POST,P01_C01_PRE,C01,P01,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,no,no,AI_C01,RUN_C01,ai_confirmed_original_judgment,,none,locked
P01_C02_PRE,,C02,P01,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,draft
P01_C02_POST,P01_C02_PRE,C02,P01,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,no,no,no,no,AI_C02,RUN_C02,rejected_ai_output,,none,locked
P01_C03_PRE,,C03,P01,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P01_C03_POST,P01_C03_PRE,C03,P01,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,yes,no,no,yes,no,AI_MISSING,RUN_C03,ai_persuaded_interpretive_change,,none,locked
P01_C04_PRE,,C04,P01,human,human_pre,not_applicable,none,none,independent,,,,,,,,0,no,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,not_applicable,,none,locked
P01_C04_POST,P01_C04_PRE,C04,P01,human,human_post_ai,yes,full_core_record,human_first,ai_review,,,,,,,,0,no,,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,2026-07-01T01:10:00+00:00,no,yes,no,no,no,AI_C05,RUN_C04,ai_identified_missed_evidence,,none,locked
