case_id,text,case_label,source,language,case_type,function_label,cue_family,broad_function_family,evidence_anchor,evidence_nodes,anchor_node,friction_locus,rationale_mechanism,epistemic_support,discourse_level,temporal_orientation,uncertainty_flag,rationale_note,alternative_signature,coder_id,status
ZZ_XIANG_7,,,,,,,,,,,,,,,,,,,,second_coder,
ZZ_MIN_1,,,,,,,,,,,,,,,,,,,,second_coder,
ZZ_XI_4,,,,,,,,,,,,,,,,,,,,second_coder,
ZZ_ZHUANG_22,,,,,,,,,,,,,,,,,,,,second_coder,
MAC_1_3,,,,,,,,,,,,,,,,,,,,second_coder,
MAC_4_1,,,,,,,,,,,,,,,,,,,,second_coder,
MAC_5_8,,,,,,,,,,,,,,,,,,,,second_coder,
GROVE_TAJOMARU,,,,,,,,,,,,,,,,,,,,second_coder,
GROVE_MASAGO,,,,,,,,,,,,,,,,,,,,second_coder,
GROVE_TAKEHIRO,,,,,,,,,,,,,,,,,,,,second_coder,
