case_id,original_work_author,original_publication_date,exact_edition,exact_translator,translation_publication_date,source_provider,source_url,source_jurisdiction_note,original_text_rights_status,translation_rights_status,public_redistribution_status,repository_publication_status,private_source_text_hash,private_source_packet_hash,rights_basis,notes
L1_AUSTEN_PNP_001,Jane Austen,1813,"Project Gutenberg eBook #1342, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,71502942b371370c9537d9c820fce7423cb3e794df2154e7338d282e5d808757,d5294cdfea60248b5bf0d37065a19c8a951b90e9dc41911609e3671e0b14243d,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_BRONTE_JE_001,Charlotte Bronte,1847,"Project Gutenberg eBook #1260, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/1260/pg1260.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,8d7b71caead92b9304a02452eb9b87e2ff8eebd22541b053ec2c411c870a0438,fb0a1010d32b269dd0710e06f1562660ae9276dea3be50a105aaf3da60762bb8,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_CHOPIN_AWAKENING_001,Kate Chopin,1899,"Project Gutenberg eBook #160, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/160/pg160.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,8211ffd9ca3d2db82ae5c6d5c2bdf3f4dc1fae4fbe554e6fe197a551ac939642,3163a60bb350678cdc78f4833ac27c05f65c3d19129b386c4a9c82e3271474e8,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_COLLINS_MOONSTONE_001,Wilkie Collins,1868,"Project Gutenberg eBook #155, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/155/pg155.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,88fc0226132892838989602f29db7daa1ac59e411bc5c90b1ee47e9e44a6be73,56897b26c511fdeca02aa44671e61cd443d6c612af1d03684f4e02d01f9340d3,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_CONRAD_SECRET_001,Joseph Conrad,1910,"Project Gutenberg eBook #220, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/220/pg220.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,ddf68422a3cd9832cd4e18cd002aaddde0494c9694a1ee7fa0da5390adf99dc0,a5583356c28dc2a724b35e000eeb0b6479ad464b18280b545e6df1ccbf5c2097,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_DICKENS_GE_001,Charles Dickens,1860-1861,"Project Gutenberg eBook #1400, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,2d29b52e6e37a15ec602bc9493f1aa5f2888a05ea9be0c9a07aeb9c1561f092f,0c2561c6bd4d07a8479341fb6230d4a10906a08d89f2fcc7c4ac199de58bc491,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_HARDY_TESS_001,Thomas Hardy,1891,"Project Gutenberg eBook #110, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/110/pg110.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,7ada1f998dbc83ac72ea2091507a0a6fe9648724d3c687e4965a945bcbbb52dd,7c2de07aa1d61743d107b0711b1d20321b927f241cc08322df97a723c8d256ba,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_HAWTHORNE_SL_001,Nathaniel Hawthorne,1850,"Project Gutenberg eBook #25344, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/25344/pg25344.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,ea4a11048e85022263c79853aa85e428eb04e188d62436636dc5e56a1f86487f,47551db63da2ace72657edd9b4c1c84ec4e53fbad2c721f689427c2b07e5e9b2,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_JAMES_TS_001,Henry James,1898,"Project Gutenberg eBook #209, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/209/pg209.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,3146717475ee33bc35ff84d1318e0612b03379251e44e3c9e335fdc49c9cd230,4216519022d0c44dc5636c8aa7eaed5f3a3a2941eb60e7672bfc2ce42c254430,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
L1_MELVILLE_BARTLEBY_001,Herman Melville,1853,"Project Gutenberg eBook #11231, English public-domain edition",not_applicable,not_applicable,Project Gutenberg,https://www.gutenberg.org/cache/epub/11231/pg11231.txt,United States public-domain source indications require jurisdiction-specific and edition-specific review before public redistribution.,public_domain_likely_by_publication_date_pending_jurisdiction_review,not_applicable,not_confirmed_pending_rights_review,metadata_only_text_redacted,949415e66a12f3f22e630ee0643ee68a9757d5d6811ff4bbbef22205dc73cc93,289129f75b5b4aeb571d6adca693d22c5f83d76aa785ffa7b58ac247b273f65b,"Project Gutenberg/source metadata is recorded, but not treated as sufficient proof of public redistribution rights for this PR.",Full text removed from public PR pending source-specific rights review.
