annotation_id,case_id,participant_id,lock_manifest_id,lock_verified
P01_C01_PRE,C01,P01,LOCK_P01_C01_PRE,False
P01_C02_PRE,C02,P01,LOCK_P01_C02_PRE,True
P01_C03_PRE,C03,P01,LOCK_P01_C03_PRE,True
P01_C04_PRE,C04,P01,LOCK_P01_C04_PRE,True
P01_C05_PRE,C05,P01,LOCK_P01_C05_PRE,True
P01_C06_PRE,C06,P01,LOCK_P01_C06_PRE,True
P02_C01_PRE,C01,P02,LOCK_P02_C01_PRE,True
P02_C02_PRE,C02,P02,LOCK_P02_C02_PRE,True
P02_C03_PRE,C03,P02,LOCK_P02_C03_PRE,True
P02_C04_PRE,C04,P02,LOCK_P02_C04_PRE,True
P02_C05_PRE,C05,P02,LOCK_P02_C05_PRE,True
P02_C06_PRE,C06,P02,LOCK_P02_C06_PRE,True
P03_C01_PRE,C01,P03,LOCK_P03_C01_PRE,True
P03_C02_PRE,C02,P03,LOCK_P03_C02_PRE,True
P03_C03_PRE,C03,P03,LOCK_P03_C03_PRE,True
P03_C04_PRE,C04,P03,LOCK_P03_C04_PRE,True
P03_C05_PRE,C05,P03,LOCK_P03_C05_PRE,True
P03_C06_PRE,C06,P03,LOCK_P03_C06_PRE,True
P04_C01_PRE,C01,P04,LOCK_P04_C01_PRE,True
P04_C02_PRE,C02,P04,LOCK_P04_C02_PRE,True
P04_C03_PRE,C03,P04,LOCK_P04_C03_PRE,True
P04_C04_PRE,C04,P04,LOCK_P04_C04_PRE,True
P04_C05_PRE,C05,P04,LOCK_P04_C05_PRE,True
P04_C06_PRE,C06,P04,LOCK_P04_C06_PRE,True
