case_id,source,case_label,language,case_type,source_url,edition_or_text_basis,translation_status,language_access_mode,case_scope,shared_context_ids,cross_case_context_permitted,required_context_segments,segment_ids,copyright_status,source_packet_required,prospective_design_role
JC_CALPURNIA_DECIUS,Julius Caesar,"Act 2.2, Calpurnia dream and Decius interpretation",English,omen_and_persuasion,https://shakespeare.mit.edu/julius_caesar/julius_caesar.2.2.html,MIT Shakespeare electronic text,original English,direct_original_language_access,local_passage,,no,,JC_CALPURNIA_DECIUS_S1|JC_CALPURNIA_DECIUS_S2|JC_CALPURNIA_DECIUS_S3|JC_CALPURNIA_DECIUS_S4|JC_CALPURNIA_DECIUS_S5,Public domain Shakespeare text,yes,boundary_stress
JC_IDES_SOOTHSAYER,Julius Caesar,"Act 1.2, soothsayer warning",English,prophetic_warning,https://shakespeare.mit.edu/julius_caesar/julius_caesar.1.2.html,MIT Shakespeare electronic text,original English,direct_original_language_access,local_passage,,no,,JC_IDES_SOOTHSAYER_S1|JC_IDES_SOOTHSAYER_S2|JC_IDES_SOOTHSAYER_S3,Public domain Shakespeare text,yes,anchor_case
HAM_GHOST_COMMAND,Hamlet,"Act 1.5, ghost command and Hamlet response",English,testimony_and_command,https://shakespeare.mit.edu/hamlet/hamlet.1.5.html,MIT Shakespeare electronic text,original English,direct_original_language_access,local_passage,,no,,HAM_GHOST_COMMAND_S1|HAM_GHOST_COMMAND_S2|HAM_GHOST_COMMAND_S3|HAM_GHOST_COMMAND_S4,Public domain Shakespeare text,yes,boundary_stress
HAM_PLAY_REACTION,Hamlet,"Act 3.2, play test and Claudius reaction",English,staged_testimony,https://shakespeare.mit.edu/hamlet/hamlet.3.2.html,MIT Shakespeare electronic text,original English,direct_original_language_access,supplied_related_cases,HAMLET_CONTEXT_A,yes,HAM_GHOST_COMMAND_S2,HAM_PLAY_REACTION_S1|HAM_PLAY_REACTION_S2|HAM_PLAY_REACTION_S3|HAM_PLAY_REACTION_S4,Public domain Shakespeare text,yes,shared_context_stress
OTH_HANDKERCHIEF_CHAIN,Othello,"Act 3.3-3.4, handkerchief chain",English,material_warrant,https://shakespeare.mit.edu/othello/,MIT Shakespeare electronic text,original English,direct_original_language_access,multi_passage_single_case,,no,,OTH_HANDKERCHIEF_CHAIN_S1|OTH_HANDKERCHIEF_CHAIN_S2|OTH_HANDKERCHIEF_CHAIN_S3|OTH_HANDKERCHIEF_CHAIN_S4|OTH_HANDKERCHIEF_CHAIN_S5,Public domain Shakespeare text,yes,evidence_selection_stress
ANT_GUARD_REPORT,Antigone,"Guard report of the burial",Ancient Greek,reported_speech,https://www.gutenberg.org/files/31/31-h/31-h.htm,"Project Gutenberg #31, F. Storr translation",published public-domain translation,published_translation,local_passage,,no,,ANT_GUARD_REPORT_S1|ANT_GUARD_REPORT_S2|ANT_GUARD_REPORT_S3|ANT_GUARD_REPORT_S4,Public domain translation,yes,reported_speech_stress
ANT_TEIRESIAS_OMENS,Antigone,"Teiresias reports failed sacrifices",Ancient Greek,prophetic_interpretation,https://www.gutenberg.org/files/31/31-h/31-h.htm,"Project Gutenberg #31, F. Storr translation",published public-domain translation,published_translation,local_passage,,no,,ANT_TEIRESIAS_OMENS_S1|ANT_TEIRESIAS_OMENS_S2|ANT_TEIRESIAS_OMENS_S3|ANT_TEIRESIAS_OMENS_S4,Public domain translation,yes,boundary_stress
OED_TIREISIAS_ACCUSATION,Oedipus the King,"Teiresias accusation",Ancient Greek,testimony_and_accusation,https://www.gutenberg.org/files/31/31-h/31-h.htm,"Project Gutenberg #31, F. Storr translation",published public-domain translation,published_translation,local_passage,,no,,OED_TIREISIAS_ACCUSATION_S1|OED_TIREISIAS_ACCUSATION_S2|OED_TIREISIAS_ACCUSATION_S3|OED_TIREISIAS_ACCUSATION_S4,Public domain translation,yes,boundary_stress
OED_MESSENGER_SHEPHERD,Oedipus the King,"Messenger and shepherd recognition chain",Ancient Greek,recognition_testimony,https://www.gutenberg.org/files/31/31-h/31-h.htm,"Project Gutenberg #31, F. Storr translation",published public-domain translation,published_translation,shared_narrative_field,THEBES_CONTEXT_A,yes,OED_TIREISIAS_ACCUSATION_S4,OED_MESSENGER_SHEPHERD_S1|OED_MESSENGER_SHEPHERD_S2|OED_MESSENGER_SHEPHERD_S3|OED_MESSENGER_SHEPHERD_S4|OED_MESSENGER_SHEPHERD_S5,Public domain translation,yes,shared_context_stress
APOL_ORACLE_INQUIRY,Apology,"Oracle and Socrates' inquiry",Ancient Greek,oracle_and_inquiry,https://www.gutenberg.org/files/1656/1656-h/1656-h.htm,"Project Gutenberg #1656, Benjamin Jowett translation",published public-domain translation,published_translation,complete_work,,no,,APOL_ORACLE_INQUIRY_S1|APOL_ORACLE_INQUIRY_S2|APOL_ORACLE_INQUIRY_S3|APOL_ORACLE_INQUIRY_S4,Public domain translation,yes,distractor_no_fit_stress
SILVER_BLAZE_DOG,The Memoirs of Sherlock Holmes,"Silver Blaze, the dog in the night-time",English,inference_case,https://www.gutenberg.org/files/834/834-h/834-h.htm,"Project Gutenberg #834, Arthur Conan Doyle",original English,direct_original_language_access,local_passage,,no,,SILVER_BLAZE_DOG_S1|SILVER_BLAZE_DOG_S2|SILVER_BLAZE_DOG_S3,Public domain text,yes,anchor_case
AESOP_FOX_GRAPES,Three Hundred Aesop's Fables,"The Fox and the Grapes",Ancient Greek,fable,https://www.gutenberg.org/files/21/21-h/21-h.htm,"Project Gutenberg #21, George Fyler Townsend translation",published public-domain translation,published_translation,local_passage,,no,,AESOP_FOX_GRAPES_S1|AESOP_FOX_GRAPES_S2|AESOP_FOX_GRAPES_S3,Public domain translation,yes,distractor_no_fit_stress
