case_id,text,case_label,source,language,case_type,function_label,cue_family,broad_function_family,evidence_anchor,evidence_nodes,anchor_node,friction_locus,rationale_mechanism,epistemic_support,discourse_level,temporal_orientation,uncertainty_flag,rationale_note,alternative_signature,coder_id,status
ZZ_XIANG_7,Zuo zhuan,"Xiang 7, 三卜郊不從",Zuo zhuan,Classical Chinese,divination,immediate_stabilization,divination,,三卜郊不從; Meng Xianzi's ritual-timing explanation,failed_divination|ritual_timing|Meng_Xianzi_interpretation,Meng_Xianzi_interpretation,operation_function,stabilizes,textual_anchor+ritual_sequence,intradiegetic,immediate,low,Interpretation converts the failed divination into procedural intelligibility by restoring ritual sequence.,,primary_coder,demonstration
ZZ_MIN_1,,"Min 1, 畢萬筮仕於晉",Zuo zhuan,Classical Chinese,divination,immediate_stabilization,divination,,畢萬筮仕於晉; 屯之比; Xin Liao's auspicious interpretation,milfoil_divination|Yi_related_result|Xin_Liao_interpretation|lineage_projection,Xin_Liao_interpretation,warrant_attribution,stabilizes+projects,textual_anchor+internal_sequence,intradiegetic,prospective,medium,The Yi-related result is accepted as a stable prospective lineage judgement without reopening local deliberation.,,primary_coder,demonstration
ZZ_XI_4,,"Xi 4, 初，晉獻公欲以驪姬為夫人：卜筮相違",Zuo zhuan,Classical Chinese,divination,extended_deliberation,divination,,卜不吉，筮吉; 筮短龜長; 一薰一蕕，十年尚猶有臭,turtle_result_unfavourable|milfoil_result_favourable|ranking_speech|ominous_line_text|retrospective_frame,ranking_speech,warrant_relation,extends,textual_anchor+internal_sequence,intradiegetic,recursive,medium,"The dominant threshold is warrant_relation because conflict among turtle result, milfoil result, ranking speech, and line text prevents clean closure. Temporal layering is a meaningful secondary observation.",temporal_layering / extends / textual_anchor+internal_sequence / commentarial_discourse / retrospective / medium,primary_coder,demonstration
ZZ_ZHUANG_22,,"Zhuang 22, 陳厲公生敬仲：卜妻與周易觀之否",Zuo zhuan,Classical Chinese,divination,extended_deliberation,divination,,卜妻敬仲; 觀之否; five/eight-generation prediction; later Chen lineage rise,marriage_divination|Zhouyi_result|generational_prediction|later_confirmation,generational_prediction,temporal_layering,extends+projects,textual_anchor+internal_sequence,commentarial_discourse,prospective-retrospective,medium,The sign remains active across projected descent and later historical readability.,,primary_coder,demonstration
MAC_1_3,Macbeth,"Act 1.3, witches' prophecy and Cawdor confirmation",Macbeth,English,prophecy,ambition_trigger_authorization,prophecy,,Witches hail Macbeth as Cawdor and future king; Ross and Angus confirm Cawdor.,prophetic_salutation|partial_confirmation|Macbeth_uptake,partial_confirmation,warrant_attribution,authorizes+reframes,textual_anchor+internal_sequence,dramatic_present,prospective,medium,Partial confirmation gives prophetic speech warranting force and reframes kingship as actionable possibility.,,primary_coder,demonstration
MAC_4_1,,"Act 4.1, apparition prophecies",Macbeth,English,prophecy,false_security,prophecy,,none of woman born; Birnam Wood prophecy,apparition_warning|woman_born_condition|Birnam_Wood_condition|Macbeth_interpretation,Macbeth_interpretation,operation_function,reframes+narrows,textual_anchor+internal_sequence,dramatic_present,prospective-retrospective,low,Macbeth converts equivocal conditional prophecy into practical security.,,primary_coder,demonstration
MAC_5_8,,"Act 5.8, Macduff disclosure and double sense",Macbeth,English,fulfilled_prophecy,retrospective_trap,prophecy,,Macduff reveals he was untimely ripped; Macbeth recognizes the double sense.,Macduff_disclosure|fulfilled_prophecy|Macbeth_recognition,Macduff_disclosure,temporal_layering,reframes,textual_anchor+internal_sequence,dramatic_present,retrospective,low,Later fulfilment reclassifies Macbeth's earlier assurance as equivocal trap.,,primary_coder,demonstration
GROVE_TAJOMARU,In a Grove,Tajōmaru's testimony,In a Grove,Japanese,testimony,self_justification,testimony,self-exculpatory testimony,Tajōmaru's confession/testimony section,confession|self_display|contest_narration,confession,operation_function,reframes,textual_anchor+narrative_context,frame_narrative,retrospective,medium,Confession is converted from apparent truth-disclosure into self-justifying self-display.,,primary_coder,demonstration
GROVE_MASAGO,,Masago's testimony,In a Grove,Japanese,testimony,self_defence_self_accusation,testimony,self-exculpatory testimony,Masago's confession/testimony section,shame_narrative|accusation|self_blame|failed_self_destruction,shame_narrative,perspective_assignment,qualifies,textual_anchor+narrative_context,frame_narrative,retrospective,high,"The testimony does not stabilize around one testimonial role because victim-position, shame, accusation, and self-blame qualify one another.",,primary_coder,demonstration
GROVE_TAKEHIRO,,Takehiro's posthumous testimony,In a Grove,Japanese,testimony,epistemic_suspension,testimony,incompatible testimonial warrant,murdered man's testimony through a medium,posthumous_testimony|medium_speech|incompatible_account,posthumous_testimony,warrant_relation,contradicts+suspends,textual_anchor+narrative_context,frame_narrative,retrospective,high,Posthumous testimony adds an extraordinary warrant that contradicts rather than resolves the preceding accounts.,,primary_coder,demonstration
