case_id,function_label,friction_locus,rationale_mechanism,epistemic_support,discourse_level,temporal_orientation,uncertainty_flag,primary_evidence_segment_ids,context_segment_ids,alternative_signature_present
JC_CALPURNIA_DECIUS,ambition_trigger_authorization,operation_function,authorizes+reframes,textual_anchor+internal_sequence,dramatic_present,prospective,medium,JC_CALPURNIA_DECIUS_S5,JC_CALPURNIA_DECIUS_S3|JC_CALPURNIA_DECIUS_S4,True
JC_IDES_SOOTHSAYER,immediate_stabilization,operation_function,stabilizes+narrows,internal_sequence+textual_anchor,dramatic_present,immediate,medium,JC_IDES_SOOTHSAYER_S3,JC_IDES_SOOTHSAYER_S1|JC_IDES_SOOTHSAYER_S2,True
HAM_GHOST_COMMAND,ambition_trigger_authorization,operation_function,authorizes+projects,textual_anchor+internal_sequence,reported_speech,prospective-retrospective,medium,HAM_GHOST_COMMAND_S3|HAM_GHOST_COMMAND_S4,HAM_GHOST_COMMAND_S1|HAM_GHOST_COMMAND_S2,True
HAM_PLAY_REACTION,immediate_stabilization,warrant_attribution,stabilizes+authorizes,parallel_case+narrative_context,frame_narrative,retrospective,medium,HAM_PLAY_REACTION_S3|HAM_PLAY_REACTION_S4,HAM_PLAY_REACTION_S1|HAM_GHOST_COMMAND_S2,True
OTH_HANDKERCHIEF_CHAIN,retrospective_trap,warrant_relation,reframes+authorizes,internal_sequence+narrative_context,dramatic_present,retrospective,medium,OTH_HANDKERCHIEF_CHAIN_S3|OTH_HANDKERCHIEF_CHAIN_S4,OTH_HANDKERCHIEF_CHAIN_S1|OTH_HANDKERCHIEF_CHAIN_S2|OTH_HANDKERCHIEF_CHAIN_S5,True
ANT_GUARD_REPORT,immediate_stabilization,perspective_assignment,stabilizes+reframes,textual_anchor+narrative_context,dramatic_present,retrospective,medium,ANT_GUARD_REPORT_S4,ANT_GUARD_REPORT_S2|ANT_GUARD_REPORT_S3,True
ANT_TEIRESIAS_OMENS,immediate_stabilization,operation_function,stabilizes+projects,ritual_sequence+textual_anchor,reported_speech,prospective-retrospective,medium,ANT_TEIRESIAS_OMENS_S3|ANT_TEIRESIAS_OMENS_S4,ANT_TEIRESIAS_OMENS_S1|ANT_TEIRESIAS_OMENS_S2,True
OED_TIREISIAS_ACCUSATION,extended_deliberation,warrant_relation,contradicts+extends,textual_anchor+internal_sequence,dramatic_present,retrospective,medium,OED_TIREISIAS_ACCUSATION_S3|OED_TIREISIAS_ACCUSATION_S4,OED_TIREISIAS_ACCUSATION_S1|OED_TIREISIAS_ACCUSATION_S2,True
OED_MESSENGER_SHEPHERD,self_defence_self_accusation,warrant_relation,reframes+reactivates,parallel_case+internal_sequence,frame_narrative,recursive,medium,OED_MESSENGER_SHEPHERD_S4|OED_MESSENGER_SHEPHERD_S5,OED_MESSENGER_SHEPHERD_S3|OED_TIREISIAS_ACCUSATION_S4,True
APOL_ORACLE_INQUIRY,extended_deliberation,warrant_relation,extends+contradicts,internal_sequence+textual_anchor,commentarial_discourse,suspended,medium,APOL_ORACLE_INQUIRY_S2|APOL_ORACLE_INQUIRY_S3,APOL_ORACLE_INQUIRY_S1|APOL_ORACLE_INQUIRY_S4,True
SILVER_BLAZE_DOG,immediate_stabilization,context_inference,reframes+narrows,coder_inference+textual_anchor,intradiegetic,retrospective,low,SILVER_BLAZE_DOG_S3,SILVER_BLAZE_DOG_S2,False
AESOP_FOX_GRAPES,self_justification,perspective_assignment,reframes,internal_sequence+textual_anchor,extradiegetic,retrospective,medium,AESOP_FOX_GRAPES_S3,AESOP_FOX_GRAPES_S2,True
