case_id,researcher_familiarity_level,no_known_prior_reading,title_general_cultural_familiarity_only,prior_casual_reading,prior_close_reading,prior_academic_analysis,prior_teaching_use,prior_trim_manual_influence,audit_status,notes
L1_AUSTEN_PNP_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_SHELLEY_FRANK_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_DICKENS_GE_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_BRONTE_JE_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_WILDE_DG_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_JAMES_TS_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_STEVENSON_JH_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_POE_TELLTALE_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_HAWTHORNE_SL_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_CHOPIN_AWAKENING_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_HARDY_TESS_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_MELVILLE_BARTLEBY_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_WHARTON_MIRTH_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_COLLINS_MOONSTONE_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L1_CONRAD_SECRET_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_HOMER_ODYSSEY_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_SOPHOCLES_ANTIGONE_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_HERODOTUS_SCYTHIAN_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_BIBLE_GENESIS_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_BIBLE_SAMUEL_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_AESOP_001,prior_casual_reading,no,no,yes,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_OVID_DAPHNE_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_MALORY_MORTE_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_BEOWULF_DRAGON_001,title_general_cultural_familiarity_only,no,yes,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
L2_ARABIAN_NIGHTS_001,no_known_prior_reading,yes,no,no,no,no,no,no,author_confirmation_required_before_execution,Corrected from blanket casual_familiarity; no sample change was made after familiarity audit.
