participant_id,case_id,condition,human_pre_annotation_id,ai_annotation_id,human_post_annotation_id,control_annotation_id,pre_lock_verified,label_changed,label_adopted_from_ai,ai_evidence_incorporated,evidence_convergence_increased,evidential_displacement,incorporated_ai_segments,removed_pre_segments,retained_pre_segments,new_non_ai_segments,mechanism_changed,mechanism_adopted_from_ai,uncertainty_shift,alternative_suppressed,alternative_generated,alternative_changed_without_suppression,alternative_mechanism_adopted_from_ai,rationale_overlap,copied_phrase_overlap,self_reported_revision_reason,validation_status,warning_count
P01,C01,ai_exposure,P01_C01_PRE,AI_C01,P01_C01_POST,,False,False,False,False,False,False,,,C01_S1|C01_S2,,False,False,unchanged,False,False,False,False,0.083333,0.000000,ai_confirmed_original_judgment,valid,1
P01,C02,ai_exposure,P01_C02_PRE,AI_C02,P01_C02_POST,,True,False,False,False,False,False,,,C02_S1,,False,False,unchanged,False,False,False,False,0.153846,0.000000,rejected_ai_output,valid,0
P01,C03,ai_exposure,P01_C03_PRE,AI_C03,P01_C03_POST,,True,True,True,False,False,False,,,C03_S1,,False,False,decreased,False,False,False,False,0.200000,0.000000,ai_persuaded_interpretive_change,error,0
P01,C04,ai_exposure,P01_C04_PRE,AI_C04,P01_C04_POST,,True,False,False,True,False,False,C04_S4,,C04_S1|C04_S3,C04_S2|C04_S5|C04_S6,False,False,unchanged,False,False,False,False,0.142857,0.000000,ai_identified_missed_evidence,error,0
P01,C05,control,P01_C05_PRE,AI_C05,,P01_C05_CONTROL,True,True,,,,,,,,,True,,increased,,,,,,,changed_after_rereading_not_ai,error,0
P01,C06,control,P01_C06_PRE,AI_C06,,P01_C06_CONTROL,True,False,,,,,,,,,False,,unchanged,,,,,,,not_applicable,valid,0
P02,C01,control,P02_C01_PRE,AI_C01,,P02_C01_CONTROL,True,False,,,,,,,,,False,,unchanged,,,,,,,not_applicable,valid,0
P02,C02,ai_exposure,P02_C02_PRE,AI_C02,P02_C02_POST,,True,False,False,True,True,False,C02_S3,,C02_S2,,False,False,unchanged,False,False,False,False,0.142857,0.000000,ai_identified_missed_evidence,error,0
P02,C03,ai_exposure,P02_C03_PRE,AI_C03,P02_C03_POST,,True,False,False,True,True,True,C03_S2,C03_S1,,,False,False,unchanged,False,False,False,False,0.083333,0.000000,ai_identified_missed_evidence,error,0
P02,C04,ai_exposure,P02_C04_PRE,AI_C04,P02_C04_POST,,True,False,False,False,False,False,,,C04_S3|C04_S4,,True,True,unchanged,False,False,False,False,0.333333,0.000000,ai_clarified_category_boundary,valid,0
P02,C05,ai_exposure,P02_C05_PRE,AI_C05,P02_C05_POST,,True,False,False,False,False,False,,,C05_S2,,False,False,decreased,False,False,False,False,0.000000,0.000000,ai_confirmed_original_judgment,valid,0
P02,C06,control,P02_C06_PRE,AI_C06,,P02_C06_CONTROL,True,True,,,,,,,,,True,,increased,,,,,,,changed_after_rereading_not_ai,valid,0
P03,C01,control,P03_C01_PRE,AI_C01,,P03_C01_CONTROL,True,True,,,,,,,,,True,,increased,,,,,,,changed_after_rereading_not_ai,valid,0
P03,C02,control,P03_C02_PRE,AI_C02,,P03_C02_CONTROL,True,False,,,,,,,,,False,,unchanged,,,,,,,not_applicable,valid,0
P03,C03,ai_exposure,P03_C03_PRE,AI_C03,P03_C03_POST,,True,False,False,False,False,False,,,C03_S2,,False,False,increased,False,False,False,False,0.000000,0.000000,mixed_or_unclear,valid,0
P03,C04,ai_exposure,P03_C04_PRE,AI_C04,P03_C04_POST,,True,False,False,False,False,False,,,C04_S3,,False,False,unchanged,True,False,False,False,0.000000,0.000000,ai_clarified_category_boundary,valid,0
P03,C05,ai_exposure,P03_C05_PRE,AI_C05,P03_C05_POST,,True,False,False,False,False,False,,,C05_S2,,False,False,increased,False,True,False,False,0.000000,0.000000,ai_persuaded_interpretive_change,error,0
P03,C06,ai_exposure,P03_C06_PRE,AI_C06,P03_C06_POST,,True,False,False,False,False,False,,,C06_S2,,False,False,unchanged,False,False,True,True,0.000000,0.000000,ai_clarified_category_boundary,valid,0
P04,C01,ai_exposure,P04_C01_PRE,AI_C01,P04_C01_POST,,True,False,False,False,False,False,,,C01_S3,,False,False,unchanged,False,False,False,False,0.090909,0.000000,rejected_ai_output,valid,0
P04,C02,ai_exposure,P04_C02_PRE,AI_C02,P04_C02_POST,,True,True,False,False,False,False,,,C02_S1,C02_S4,False,False,unchanged,False,False,False,False,0.000000,0.000000,changed_after_rereading_not_ai,valid,0
P04,C03,control,P04_C03_PRE,AI_C03,,P04_C03_CONTROL,True,True,,,,,,,,,True,,increased,,,,,,,changed_after_rereading_not_ai,valid,0
P04,C04,control,P04_C04_PRE,AI_C04,,P04_C04_CONTROL,True,False,,,,,,,,,False,,unchanged,,,,,,,not_applicable,valid,0
P04,C05,ai_exposure,P04_C05_PRE,AI_C05,P04_C05_POST,,True,False,False,True,True,False,C05_S2,,C05_S1,,False,False,unchanged,False,False,False,False,0.750000,0.666667,mixed_or_unclear,valid,0
P04,C06,ai_exposure,P04_C06_PRE,AI_C06,P04_C06_POST,,True,True,True,True,True,True,C06_S2,C06_S1,,,True,True,decreased,False,True,False,True,1.000000,1.000000,ai_persuaded_interpretive_change,valid,3
