case_id,segment_id,source,edition_or_translation,source_url,location,quotation_status,normalization_notes,copyright_status
JC_CALPURNIA_DECIUS,JC_CALPURNIA_DECIUS_S1,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.2.2.html,"Act 2, Scene 2, opening lines",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_CALPURNIA_DECIUS,JC_CALPURNIA_DECIUS_S2,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.2.2.html,"Act 2, Scene 2, Caesar sends servant",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_CALPURNIA_DECIUS,JC_CALPURNIA_DECIUS_S3,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.2.2.html,"Act 2, Scene 2, servant reports augurers",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_CALPURNIA_DECIUS,JC_CALPURNIA_DECIUS_S4,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.2.2.html,"Act 2, Scene 2, Caesar reports Calpurnia's dream",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_CALPURNIA_DECIUS,JC_CALPURNIA_DECIUS_S5,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.2.2.html,"Act 2, Scene 2, Decius answers Caesar",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_IDES_SOOTHSAYER,JC_IDES_SOOTHSAYER_S1,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.1.2.html,"Act 1, Scene 2, soothsayer calls Caesar",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_IDES_SOOTHSAYER,JC_IDES_SOOTHSAYER_S2,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.1.2.html,"Act 1, Scene 2, warning repeated",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
JC_IDES_SOOTHSAYER,JC_IDES_SOOTHSAYER_S3,Julius Caesar,MIT Shakespeare electronic text,https://shakespeare.mit.edu/julius_caesar/julius_caesar.1.2.html,"Act 1, Scene 2, Caesar dismisses soothsayer",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
HAM_GHOST_COMMAND,HAM_GHOST_COMMAND_S1,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.1.5.html,"Act 1, Scene 5, Ghost identifies itself",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
HAM_GHOST_COMMAND,HAM_GHOST_COMMAND_S2,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.1.5.html,"Act 1, Scene 5, Ghost reports false account",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
HAM_GHOST_COMMAND,HAM_GHOST_COMMAND_S3,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.1.5.html,"Act 1, Scene 5, revenge command",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
HAM_GHOST_COMMAND,HAM_GHOST_COMMAND_S4,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.1.5.html,"Act 1, Scene 5, Hamlet after Ghost exits",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
HAM_PLAY_REACTION,HAM_PLAY_REACTION_S1,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.3.2.html,"Act 3, Scene 2, Hamlet instructs Horatio",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
HAM_PLAY_REACTION,HAM_PLAY_REACTION_S2,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.3.2.html,"Act 3, Scene 2, dumb-show stage direction",exact_contiguous_excerpt,"Source stage direction wraps as prose in packet; wording preserved.",Public domain Shakespeare text
HAM_PLAY_REACTION,HAM_PLAY_REACTION_S3,Hamlet,MIT Shakespeare electronic text,https://shakespeare.mit.edu/hamlet/hamlet.3.2.html,"Act 3, Scene 2, Lucianus and Claudius exit",exact_contiguous_excerpt,"Line breaks preserved from source display; blockquote formatting added.",Public domain Shakespeare text
