case_id,segment_id,english_gloss,gloss_status,translation_note
IAG_JP_PUBLIC_002,IAG-JP-FRAME-001,"The account of the dead spirit as conveyed through the mouth of a medium.",non_authoritative,"This is a gloss of the source heading and provides a citable frame anchor for the testimony's mediation."
IAG_JP_PUBLIC_002,IAG-JP-001,"While I hesitated, my wife gave a cry and at once ran into the depths of the grove.",non_authoritative,"The Japanese links the cry and flight tightly; it does not specify what she cried."
IAG_JP_PUBLIC_002,IAG-JP-002,"The robber sprang after her at once, but apparently did not even catch her sleeve.",non_authoritative,"らしい marks the samurai's limited or inferential access."
IAG_JP_PUBLIC_002,IAG-JP-003,"I merely watched the scene as though it were an illusion.",non_authoritative,"The sentence describes the samurai's perceptual stance without resolving what he could verify."
IAG_JP_PUBLIC_002,IAG-JP-004,"After my wife had fled, the robber took the long sword and the bow and arrows, then cut through my rope at only one place.",non_authoritative,"太刀 is glossed as long sword to distinguish it from the wife's 小刀 used later."
IAG_JP_PUBLIC_002,IAG-JP-005,"“Now it is my turn.” I remember him muttering this as he disappeared from the grove.",non_authoritative,"今度はおれの身の上だ is idiomatic and context-sensitive; the gloss avoids adding an obligation of self-protection."
IAG_JP_PUBLIC_002,IAG-JP-006,"After that, everything was quiet. No—someone was still crying.",non_authoritative,"いや explicitly revises the preceding perception of complete silence."
IAG_JP_PUBLIC_002,IAG-JP-007,"As I untied the rope, I listened closely.",non_authoritative,"The segment records both the ongoing untying and the deliberate act of listening."
IAG_JP_PUBLIC_002,IAG-JP-008,"But when I became aware of it, was that voice not my own crying?",non_authoritative,"The rhetorical form marks delayed self-recognition."
IAG_JP_PUBLIC_002,IAG-JP-009,"At last I raised my exhausted body from the foot of the cedar.",non_authoritative,"The sentence records bodily effort without adding medical interpretation."
IAG_JP_PUBLIC_002,IAG-JP-010,"In front of me, a dagger dropped by my wife was shining.",non_authoritative,"小刀 is glossed as dagger and remains distinct from the long sword taken by the robber."
IAG_JP_PUBLIC_002,IAG-JP-011,"I took it and drove it into my chest in a single thrust.",non_authoritative,"The sentence reports self-stabbing but does not by itself establish the later causal sequence."
IAG_JP_PUBLIC_002,IAG-JP-012,"Some raw-smelling mass welled up into my mouth. Yet there was no pain at all.",non_authoritative,"腥い塊 retains both the sensory quality and the substantial sense of a mass without reducing it to blood alone."
IAG_JP_PUBLIC_002,IAG-JP-013,"As my chest grew cold, the surroundings became stiller.",non_authoritative,"The gloss preserves the paired bodily and perceptual transition without treating it as a medically established moment of death."
IAG_JP_PUBLIC_002,IAG-JP-014,"Ah, what stillness. Not a single small bird came to sing in the sky above this grove in the mountain's shade. Only a lonely patch of sunlight drifted over the tips of the cedars and bamboo.",non_authoritative,"The description remains perceptual and atmospheric rather than diagnostic."
IAG_JP_PUBLIC_002,IAG-JP-015,"The light—this too gradually faded. Now I could no longer see the cedars or bamboo.",non_authoritative,"もう is glossed as now rather than soon."
IAG_JP_PUBLIC_002,IAG-JP-016,"I lay there, enveloped in deep stillness.",non_authoritative,"The segment describes state and perception without deciding whether consciousness has ended."
IAG_JP_PUBLIC_002,IAG-JP-017,"At that moment, someone approached me with stealthy steps.",non_authoritative,"誰か is unidentified; the segment does not establish identity, motive, or causal responsibility."
IAG_JP_PUBLIC_002,IAG-JP-018,"I tried to look in that direction, but at some point a dim darkness had gathered around me.",non_authoritative,"The segment provides the perceptual constraint relevant to the later unseen hand."
IAG_JP_PUBLIC_002,IAG-JP-019,"Someone—that someone, with a hand I could not see, gently drew the dagger from my chest.",non_authoritative,"見えない modifies the hand as unavailable to sight, not necessarily supernatural."
IAG_JP_PUBLIC_002,IAG-JP-020,"At the same time, blood once more flooded into my mouth.",non_authoritative,"The Japanese explicitly presents renewed blood flow after the dagger is removed."
IAG_JP_PUBLIC_002,IAG-JP-021,"After that, I sank forever into the darkness of chūu.",non_authoritative,"中有 is retained as chūu because it names an intermediate post-death state and should not be silently collapsed into generic darkness."
