lock_manifest_id,annotation_id,case_id,annotation_stage,actor_id,canonical_record_sha256,locked_at,lock_status,locked_by,notes
LOCK_P01_C01_PRE,P01_C01_PRE,C01,human_pre,P01,783844b52d598c782cf6d72b56590906fc24087f507beed26a8342020a66786d,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P01_C02_PRE,P01_C02_PRE,C02,human_pre,P01,83a72e7eef7ab8d6fb143c7c6e768e400b93745ffe67eb710fb5f35f5d17cbf8,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P01_C03_PRE,P01_C03_PRE,C03,human_pre,P01,b0333fb143b6a285fd5c5b2e7417068813d0a04154e9a42bda9403103620cf06,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P01_C04_PRE,P01_C04_PRE,C04,human_pre,P01,f5c603709e928aa3e7f10d9f3fcaea4a0ad471091c2041e855834115e1a676b5,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P01_C05_PRE,P01_C05_PRE,C05,human_pre,P01,17878d10968e322f546548558b78b367ba6965f7fea5c2635b4a21020a93a5ad,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P01_C06_PRE,P01_C06_PRE,C06,human_pre,P01,d11ff9347726202caf808caef51af0afc88ff9825ac2fafc3b5efcbcf417bc8a,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P02_C01_PRE,P02_C01_PRE,C01,human_pre,P02,f1ecaf27ff6c7e5fea260b76ea0e934e3f3c151e0dbc33559cce620b1a3fe7c3,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P02_C02_PRE,P02_C02_PRE,C02,human_pre,P02,9cdf83078163792ac6f8afe03255d83401c1a13b59703056cea917e8250a7d4b,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P02_C03_PRE,P02_C03_PRE,C03,human_pre,P02,7790995214ee6c639124639d6c7e2f35348773f596d8b7e05a24a4042e1509c5,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P02_C04_PRE,P02_C04_PRE,C04,human_pre,P02,6922f0327d7233d03c529abcd8ce27d64bdcd97e80bd49307c0d279620fe7f5a,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P02_C05_PRE,P02_C05_PRE,C05,human_pre,P02,be36834906433f0f80f2161b6ca75bda29cecc3188027194c5d8553001a9e850,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P02_C06_PRE,P02_C06_PRE,C06,human_pre,P02,fb417e508539c9a95919eaae51cd446e16dfe65d66cf0cdf307242044a506b3e,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P03_C01_PRE,P03_C01_PRE,C01,human_pre,P03,5c0dc57ee8cc7a9b3d5dba907594dbace6923f2ef7291dffcdcff167f3ec2051,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P03_C02_PRE,P03_C02_PRE,C02,human_pre,P03,0d0ee9d8de961e2f097ef6cb8923c08419a845e62b9af80ba171cc5bb1dec81f,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P03_C03_PRE,P03_C03_PRE,C03,human_pre,P03,021b10fde9128ff95ba0b570a4fcc33f72608d9ebd50e1b2429600e11885d3db,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P03_C04_PRE,P03_C04_PRE,C04,human_pre,P03,25f751d173fc186fe406120a6c92200faa09ddba704205ef310501a0b29c0fa5,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P03_C05_PRE,P03_C05_PRE,C05,human_pre,P03,b99aad8cdacb6596235e65f133d3fd65506149d8d48adc1d8f427e1acac7a80a,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P03_C06_PRE,P03_C06_PRE,C06,human_pre,P03,9895dfba1b75cc3db75c88a62b54273cf519dac72f5cf357f9a258f31b07b237,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P04_C01_PRE,P04_C01_PRE,C01,human_pre,P04,9873047a1c5d5ac3c73ba642d229a4bdcd2a69a6045269e3928689a83b8ba727,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P04_C02_PRE,P04_C02_PRE,C02,human_pre,P04,f56f1cdc57f59843c52da9380e22532c660d5288d0a17dec0ed978df7eeafa34,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P04_C03_PRE,P04_C03_PRE,C03,human_pre,P04,ec7c24bb01fe240ca9a17b5023aa301dacda1371cebb759b05c3733e98deffc5,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P04_C04_PRE,P04_C04_PRE,C04,human_pre,P04,c9f3575cc9bd0296d6f290981d189f9c4459313846e730746125939e18f25fcb,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P04_C05_PRE,P04_C05_PRE,C05,human_pre,P04,c8f87c6dc414da74634ae1fced79270d01248d00a396f43d73e65becec314628,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
LOCK_P04_C06_PRE,P04_C06_PRE,C06,human_pre,P04,c37d2b78341c66bb0f16aa3111d82d50b7213e210d56c9f3baa292f825751c01,2026-07-01T00:00:00+00:00,locked,synthetic_builder,
