path,classification,action,destination,reason,frozen_hash_relevant,notes
.github/workflows/tests.yml,shared_infrastructure,replace,.github/workflows/tests.yml,Root repository infrastructure retained for standalone TRIM-HAA.,no,
.gitignore,shared_infrastructure,keep,.gitignore,Root repository infrastructure retained for standalone TRIM-HAA.,no,
CHANGELOG.md,legacy_trim,delete_from_active_tree,,Legacy project-level material removed from active tree.,no,
CITATION.cff,shared_infrastructure,replace,CITATION.cff,Root repository infrastructure retained for standalone TRIM-HAA.,no,
CONTRIBUTING.md,legacy_trim,delete_from_active_tree,,Legacy project-level material removed from active tree.,no,
LICENSE,shared_infrastructure,keep,LICENSE,Root repository infrastructure retained for standalone TRIM-HAA.,no,
README.md,shared_infrastructure,replace,README.md,Root repository infrastructure retained for standalone TRIM-HAA.,no,
artifacts/TRIM_HAA_pilot_ethics_package_v0_1.zip,future_human_study,move,artifacts/future_human_study/TRIM_HAA_pilot_ethics_package_v0_1.zip,Frozen future-study artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_pilot_ethics_package_v0_1.zip.sha256,future_human_study,move,artifacts/future_human_study/TRIM_HAA_pilot_ethics_package_v0_1.zip.sha256,Frozen future-study artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_pilot_ethics_package_v0_2.zip,future_human_study,move,artifacts/future_human_study/TRIM_HAA_pilot_ethics_package_v0_2.zip,Frozen future-study artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_pilot_ethics_package_v0_2.zip.sha256,future_human_study,move,artifacts/future_human_study/TRIM_HAA_pilot_ethics_package_v0_2.zip.sha256,Frozen future-study artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_pilot_ethics_package_v0_3.zip,future_human_study,move,artifacts/future_human_study/TRIM_HAA_pilot_ethics_package_v0_3.zip,Frozen future-study artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_pilot_ethics_package_v0_3.zip.sha256,future_human_study,move,artifacts/future_human_study/TRIM_HAA_pilot_ethics_package_v0_3.zip.sha256,Frozen future-study artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_position_note_v0_1.zip,trim_haa_research_material,move,artifacts/position_note/TRIM_HAA_position_note_v0_1.zip,Frozen position-note artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_position_note_v0_1.zip.sha256,trim_haa_research_material,move,artifacts/position_note/TRIM_HAA_position_note_v0_1.zip.sha256,Frozen position-note artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_position_note_v0_2.zip,trim_haa_research_material,move,artifacts/position_note/TRIM_HAA_position_note_v0_2.zip,Frozen position-note artifact is preserved byte-for-byte under artifact category.,yes,
artifacts/TRIM_HAA_position_note_v0_2.zip.sha256,trim_haa_research_material,move,artifacts/position_note/TRIM_HAA_position_note_v0_2.zip.sha256,Frozen position-note artifact is preserved byte-for-byte under artifact category.,yes,
data/blinded_pilot_case_manifest.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/blinded_pilot_coding_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/blinded_pilot_source_packet.md,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/cross_language_layer_annotations_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/cross_language_pair_comparisons_template.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
data/demo_annotations.csv,legacy_trim,delete_from_active_tree,,Legacy TRIM data/template material removed from active tree.,no,
